# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\world_map_1.png	255	255	255
10	textures\world_map_sprites.png	248	236	160
20	textures\world_map_1_bank.png	255	255	255
#font - A					
60122	176	30	186	40	50
#font - B					
60123	186	30	196	40	50
#font - C					
60124	76	40	86	50	50
#font - D					
60125	86	40	96	50	50
#font - E					
60126	96	40	106	50	50
#font - F					
60127	106	40	116	50	50
#font - G					
60128	116	40	126	50	50
#font - H					
60129	126	40	136	50	50
#font - I					
60130	136	40	146	50	50
#font - J					
60131	146	40	156	50	50
#font - K					
60132	156	40	166	50	50
#font - L					
60133	166	40	176	50	50
#font - M					
60134	176	40	186	50	50
#font - N					
60135	186	40	196	50	50
#font - O					
60136	76	50	86	60	50
#font - P					
60137	86	50	96	60	50
#font - Q					
60138	96	50	106	60	50
#font - R					
60139	106	50	116	60	50
#font - S					
60140	116	50	126	60	50
#font - T					
60141	126	50	136	60	50
#font - U					
60142	136	50	146	60	50
#font - V					
60143	146	50	156	60	50
#font - W					
60144	156	50	166	60	50
#font - X					
60145	166	50	176	60	50
#font - Y					
60146	176	50	186	60	50
#font - Z					
60147	186	50	196	60	50

#==========SCORE ===================	
#100	
60150	61	89	72	97	50
#200
60151	75	89	87	97	50
#400
60152	90	89	102	97	50
#800
60153	105	89	117	97	50
#1000
60154	120	89	135	97	50
#2000
60155	138	89	154	97	50
#4000
60156	157	89	173	97	50
#8000
60157	176	89	192	97	50
#1LV
60158	195	89	211	97	50

#===========================================================================================						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#==== BUSH
2000	1009	100	1010	100	1011	100	1012	100
#=====HELP
2001	1000	100

#===== GOLD DIGGER
#==== THE GOLD DIGGER 	WALK RIGHT
2002	1015	100	1016	100
#==== THE GOLD DIGGER 	WALK LEFT
2004	1027	100	1028	100

# ==== MARIO =========
2003	1025	100	1026	100

#============HUD==============
3000	60100	100

#icon MARIO					
3001	60102	100
#icon Lugi					
3002	60103	100
#PowerMelter filled arrow					
3003	60104	100
#powerMelter filled iconP					
3004	60105	100	60107	100
#powerMelter empty arrow					
3005	60106	100
#powerMelter empty iconP					
3006	60107	100
#empty card					
3007	60108	100
#mushroom card					
3008	60109	100
#fireflower card					
3009	60110	100
#star card					
3010	60111	100
#font - 0					
3011	60112	100
#font - 1					
3012	60113	100
#font - 2					
3013	60114	100
#font - 3					
3014	60115	100
#font - 4					
3015	60116	100
#font - 5					
3016	60117	100
#font - 6					
3017	60118	100
#font - 7					
3018	60119	100
#font - 8					
3019	60120	100
#font - 9					
3020	60121	100
#font - A					
3021	60122	100
#font - B					
3022	60123	100
#font - C					
3023	60124	100
#font - D					
3024	60125	100
#font - E					
3025	60126	100
#font - F					
3026	60127	100
#font - G					
3027	60128	100
#font - H					
3028	60129	100
#font - I					
3029	60130	100
#font - J					
3030	60131	100
#font - K					
3031	60132	100
#font - L					
3032	60133	100
#font - M					
3033	60134	100
#font - N					
3034	60135	100
#font - O					
3035	60136	100
#font - P					
3036	60137	100
#font - Q					
3037	60138	100
#font - R					
3038	60139	100
#font - S					
3039	60140	100
#font - T					
3040	60141	100
#font - U					
3041	60142	100
#font - V					
3042	60143	100
#font - W					
3043	60144	100
#font - X					
3044	60145	100
#font - Y					
3045	60146	100
#font - Z					
3046	60147	100

#==========SCORE ===================	
#100	
3047	60150	100
#200
3048	60151	100
#400
3049	60152	100
#800
3050	60153	100
#1000
3051	60154	100
#2000
3052	60155	100
#4000
3053	60156	100
#8000
3054	60157	100
#1LV
3055	60158	100
#=================================================================================================
[ANIMATION_SETS]
# WORLD MAP OBJECTS
1	2000	2001	2002	2004
#====BANG HUD
2	3000
#=====Icon Mario - Luigi
3	3001	3002

#==========Stack
4	3003	3004	3005	3006

#======= Card
5	3007	3008	3009	3010

#====== NUMBER
6	3011	3012	3013	3014	3015	3016	3017	3018	3019	3020

#====== LETTERS
7	3021	3022	3023	3024	3025	3026	3027	3028	3029	3030	3031	3032	3033	3034	3035	3036	3037	3038	3039	3040	3041	3042	3043	3044	3045	3046

#===== SCORE
8	3047	3048	3049	3050	3051	3052	3053	3054	3055

#=== MARIO
20	2003


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type:	WORLD_MAP_TYPE_MARIO = 0, WORLD_MAP_TYPE_HELP =1 ,   WORLD_MAP_TYPE_GOLD_DIGGER =2 , WORLD_MAP_TYPE_BUSH = 3 , NODE = 4
# type HUD: 100=HUD PANEL , 101=MARIO_LUIGI_HUD , 102=LIFE, 103= MONEY, 104=SCORE , 105=TIME_PICKER , 106= WORLD , 107=STACK NORMAL, 108=STACK MAX, 109=ITEM
# MARIO
#0	26	50	20
0	26	50	20
#HELP
1	275	120	1

#GOLD_DIGGER
2	62	98	1

#BUSH (TU TRAI SANG PHAI TU TREN XUONG DUOI)
#BUSH HANG 1			
3	2	5	1
3	27	5	1
3	52	5	1
3	275	5	1
3	295	5	1
#BUSH HANG 2			
3	2	25	1
3	27	25	1
3	52	25	1
#===			
3	93	25	1
3	118	25	1
3	143	25	1
#===			
3	185	25	1
3	210	25	1
3	235	25	1
#===				
3	275	25	1
3	295	25	1
#BUSH HANG 3			
3	93	50	1
3	118	50	1
3	143	50	1
#===				
3	275	50	1
3	295	50	1
#BUSH HANG 4			
3	2	75	1
3	27	75	1
3	52	75	1
#===				
3	93	75	1
3	118	75	1
3	143	75	1
#===	
3	185	75	1
3	210	75	1
3	235	75	1
3	255	75	1
3	275	75	1
3	295	75	1
#BUSH HANG 5			
3	2	100	1
3	27	100	1
3	52	100	1
#===				
3	185	100	1
3	210	100	1
#===				
3	295	100	1
#BUSH HANG 6			
3	2	120	1
#===				
3	118	120	1
3	143	120	1
3	168	120	1
#===			
3	295	120	1
#BUSH HANG 7			
3	295	140	1
#BUSH HANG 8			
3	295	160	1
#BUSH HANG 9			
3	295	180	1

#Node of lists (trai qua -> tren xuong)
4	200	0	1	1
4	400	0	1	2
4	600	0	1	3
4	800	0	1	4
4	1000	0	1	5
4	0	200	1	6
4	200	200	1	7
4	600	200	1	8
4	900	200	1	9
4	1000	200	1	10
4	100	400	1	11
4	400	400	1	12
4	600	400	1	13
4	100	600	1	14
4	500	600	1	15
4	700	600	1	16
4	900	600	1	17
4	1100	600	1	18
4	100	800	1	19
4	400	800	1	20
4	700	800	1	21
#HUD
100	0	222	2
#=====	ANYTHING ELSE (CANT UPDATE)
#===== WORLD
106	37	229	6
#===== MARIO ICON
101	3	237	3
#====== THINGS CAN UPDATE
#===== LIFE
102	37	237	6
#==== TIME_PICKER
105	125	237	6
105	133	237	6
105	141	237	6
#==== SCORE
104	103	237	6
104	95	237	6
104	87	237	6
104	79	237	6
104	71	237	6
104	63	237	6
104	55	237	6
#==== MONEY
103	133	229	6
103	141	229	6

#==== STACK NORMAL
107	55	229	4
107	63	229	4
107	71	229	4
107	79	229	4
107	87	229	4
107	95	229	4
#==== STACK MAX
108	103	229	4
